Time, ManagementArea, Prescription, StandMapCode, EventID, StandAge, StandRank, StandSiteCount, DamagedSites, MgBiomassRemoved, MgBioRemovedPerDamagedHa, CohortsDamaged, CohortsKilled, CohortsKilledByabiebals, CohortsKilledByacernegu, CohortsKilledByacerrubr, CohortsKilledByacersacc, CohortsKilledByacerspic, CohortsKilledBybetualle, CohortsKilledBybetupapy, CohortsKilledByceltis, CohortsKilledByfraxamer, CohortsKilledByfraxnigr, CohortsKilledByfraxpenn, CohortsKilledBylarilari, CohortsKilledByostrvirg, CohortsKilledBypiceglau, CohortsKilledBypicemari, CohortsKilledBypinubank, CohortsKilledBypinuresi, CohortsKilledBypinustro, CohortsKilledBypopubals, CohortsKilledBypopudelt, CohortsKilledBypopugran, CohortsKilledBypoputrem, CohortsKilledByprunpens, CohortsKilledByprunsero, CohortsKilledByprunvirg, CohortsKilledByqueralba, CohortsKilledByquerelli, CohortsKilledByquermacr, CohortsKilledByquerrubr, CohortsKilledBysalix, CohortsKilledBythujocci, CohortsKilledBytiliamer, CohortsKilledByulmuamer, CohortsKilledByulmurubr, 
5, 1, Aspen_Clearcut, 120208, 507, 0, 1631.3, 4, 4, 1824.28, 114.02, 0, 56, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 19, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 
5, 1, Oak_Shelter, 119857, 794, 45, 278.3, 2, 2, 1199.04, 149.88, 3, 28, 5, 0, 4, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 9, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 0, 
5, 1, Aspen_Clearcut, 108249, 857, 0, 1320.8, 3, 3, 1185, 98.75, 0, 21, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Aspen_Clearcut, 119484, 1165, 0, 1159.5, 2, 2, 1052, 131.5, 0, 34, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 
5, 1, Aspen_Clearcut, 114797, 314, 0, 1822.5, 1, 1, 576.4, 144.1, 0, 15, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Aspen_Clearcut, 103700, 1140, 0, 1169.6, 7, 7, 4196.44, 149.87, 0, 77, 5, 0, 0, 0, 0, 0, 24, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
5, 1, CNF_SpruceFir, 148147, 1161, 0, 934, 1, 1, 588.68, 147.17, 0, 20, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, Aspen_Clearcut, 103223, 445, 0, 1672.5, 1, 1, 618.44, 154.61, 0, 17, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 
5, 1, Aspen_Clearcut, 130095, 538, 0, 1603, 1, 1, 568.32, 142.08, 0, 12, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, LowlandConifer_Clearcut, 134286, 130, 0, 1454.4, 1, 1, 363.44, 90.86, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
