Time, ManagementArea, Prescription, TotalDamagedSites, TotalCohortsKilled, TotalCohortsDamaged, CohortsKilledByabiebals, CohortsKilledByacernegu, CohortsKilledByacerrubr, CohortsKilledByacersacc, CohortsKilledByacerspic, CohortsKilledBybetualle, CohortsKilledBybetupapy, CohortsKilledByceltis, CohortsKilledByfraxamer, CohortsKilledByfraxnigr, CohortsKilledByfraxpenn, CohortsKilledBylarilari, CohortsKilledByostrvirg, CohortsKilledBypiceglau, CohortsKilledBypicemari, CohortsKilledBypinubank, CohortsKilledBypinuresi, CohortsKilledBypinustro, CohortsKilledBypopubals, CohortsKilledBypopudelt, CohortsKilledBypopugran, CohortsKilledBypoputrem, CohortsKilledByprunpens, CohortsKilledByprunsero, CohortsKilledByprunvirg, CohortsKilledByqueralba, CohortsKilledByquerelli, CohortsKilledByquermacr, CohortsKilledByquerrubr, CohortsKilledBysalix, CohortsKilledBythujocci, CohortsKilledBytiliamer, CohortsKilledByulmuamer, CohortsKilledByulmurubr, 
5, 6, CNF_SpruceFir, 19, 146, 0, 31, 0, 3, 0, 0, 0, 16, 0, 0, 1, 6, 2, 2, 3, 7, 4, 3, 1, 2, 0, 4, 47, 0, 0, 0, 0, 0, 4, 1, 0, 0, 2, 7, 0, 
5, 6, Aspen_Clearcut, 10, 74, 0, 0, 0, 8, 4, 0, 0, 8, 0, 0, 0, 7, 0, 2, 0, 0, 0, 1, 0, 7, 0, 7, 21, 1, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 
5, 6, Oak_Clearcut, 3, 21, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 2, 0, 
5, 6, LowlandConifer_Clearcut, 24, 183, 0, 10, 0, 9, 1, 0, 0, 10, 0, 0, 6, 3, 46, 0, 0, 86, 0, 0, 0, 2, 0, 1, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
5, 6, Oak_Shelter, 8, 61, 7, 0, 2, 0, 0, 0, 0, 1, 0, 0, 6, 8, 0, 6, 0, 0, 3, 1, 0, 0, 0, 0, 21, 0, 2, 2, 0, 0, 7, 3, 0, 0, 0, 6, 0, 
5, 6, Pine_Unevenaged, 9, 65, 21, 15, 0, 3, 1, 0, 0, 15, 0, 0, 2, 0, 0, 2, 0, 14, 0, 8, 10, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
5, 6, Oak_Unevenaged, 1561, 10494, 287, 1074, 23, 774, 378, 1, 16, 1132, 0, 0, 1057, 270, 812, 69, 0, 1081, 279, 451, 0, 260, 0, 262, 2005, 11, 17, 5, 8, 4, 275, 167, 11, 0, 0, 339, 0, 
5, 6, Hardwoods_Unevenaged, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 6, Thinning_PineHard, 17864, 3856, 40753, 0, 0, 1934, 1173, 0, 56, 0, 0, 0, 8335, 0, 0, 0, 7535, 0, 0, 13967, 5310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3856, 0, 0, 2197, 246, 0, 
5, 6, Thinning_Aspen, 17, 1, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 8, JPine_Clearcut, 3, 19, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 6, 3, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 
5, 8, CNF_RPine_Clearcut, 4, 45, 0, 4, 0, 5, 3, 0, 1, 8, 0, 0, 5, 3, 0, 0, 4, 2, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
5, 8, CNF_SpruceFir, 12, 129, 0, 6, 0, 17, 2, 0, 0, 11, 0, 0, 4, 15, 0, 0, 7, 0, 3, 2, 1, 1, 0, 0, 46, 0, 1, 0, 0, 0, 2, 1, 0, 0, 3, 7, 0, 
5, 8, Aspen_Clearcut, 13, 108, 0, 1, 0, 11, 4, 0, 0, 7, 0, 0, 0, 0, 2, 0, 0, 17, 5, 4, 0, 4, 0, 6, 42, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 
5, 8, Oak_Clearcut, 3, 36, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 0, 4, 1, 1, 
5, 8, LowlandConifer_Clearcut, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 8, Oak_Shelter, 10, 44, 15, 0, 0, 20, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 15, 4, 0, 0, 0, 4, 0, 
5, 8, Pine_Unevenaged, 3, 39, 6, 18, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 9, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 8, Oak_Unevenaged, 7, 54, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 25, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 8, Hardwoods_Unevenaged, 8, 0, 20, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 9, 0, 0, 
5, 8, Thinning_RedPine, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 8, Thinning_PineHard, 24, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 8, Thinning_Aspen, 7, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 1, JPine_Clearcut, 126, 864, 0, 12, 0, 12, 4, 0, 0, 107, 0, 0, 37, 1, 8, 3, 53, 15, 217, 104, 18, 13, 0, 14, 166, 0, 6, 1, 0, 0, 15, 4, 0, 3, 2, 49, 0, 
10, 1, CNF_RPine_Clearcut, 54, 861, 0, 15, 0, 1, 1, 0, 2, 142, 0, 0, 0, 0, 9, 4, 49, 3, 34, 359, 140, 7, 0, 21, 60, 0, 3, 0, 0, 0, 4, 4, 0, 1, 2, 0, 0, 
10, 1, CNF_SpruceFir, 282, 3528, 0, 304, 4, 82, 29, 0, 5, 527, 0, 0, 34, 18, 22, 95, 270, 68, 42, 89, 50, 117, 0, 66, 1369, 1, 46, 1, 0, 0, 72, 35, 1, 17, 39, 125, 0, 
10, 1, Aspen_Clearcut, 574, 6456, 0, 103, 0, 89, 25, 0, 2, 1116, 0, 0, 39, 18, 28, 226, 190, 60, 14, 103, 128, 609, 0, 522, 2627, 0, 72, 2, 2, 0, 82, 58, 1, 28, 42, 270, 0, 
10, 1, Oak_Clearcut, 56, 357, 0, 0, 0, 28, 0, 0, 0, 19, 0, 0, 8, 25, 0, 2, 3, 0, 0, 2, 1, 3, 0, 3, 38, 0, 0, 0, 0, 0, 165, 34, 0, 12, 5, 9, 0, 
10, 1, LowlandConifer_Clearcut, 55, 761, 0, 6, 0, 2, 1, 0, 0, 31, 0, 0, 1, 2, 32, 1, 36, 562, 6, 14, 22, 6, 0, 3, 29, 0, 0, 0, 1, 0, 0, 1, 0, 0, 4, 1, 0, 
10, 1, Oak_Shelter, 417, 2107, 593, 78, 0, 275, 15, 1, 0, 338, 0, 3, 210, 148, 30, 37, 0, 41, 12, 69, 0, 57, 0, 66, 518, 0, 6, 0, 0, 3, 590, 80, 7, 0, 0, 116, 0, 
10, 1, Pine_Unevenaged, 43, 187, 527, 1, 0, 0, 3, 0, 0, 76, 0, 0, 0, 0, 1, 2, 30, 4, 1, 220, 282, 3, 0, 34, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 
10, 1, Oak_Unevenaged, 61, 99, 53, 0, 0, 4, 1, 0, 0, 27, 0, 0, 14, 1, 0, 2, 0, 0, 0, 0, 0, 4, 0, 12, 25, 0, 2, 0, 46, 0, 7, 0, 0, 0, 0, 7, 0, 
10, 1, Hardwoods_Unevenaged, 164, 0, 471, 0, 0, 28, 99, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 210, 6, 0, 
10, 1, Thinning_RedPine, 41, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 1, Thinning_PineHard, 448, 42, 1379, 0, 0, 29, 21, 0, 0, 0, 0, 0, 102, 0, 0, 0, 387, 0, 0, 471, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 60, 16, 0, 
10, 1, Thinning_Aspen, 147, 80, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 407, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 
10, 4, Aspen_Clearcut, 3, 21, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0, 3, 0, 3, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
10, 4, Oak_Clearcut, 2, 18, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 
10, 4, Oak_Shelter, 2, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
10, 4, Pine_Unevenaged, 9, 20, 20, 0, 0, 2, 8, 0, 0, 3, 0, 0, 1, 0, 0, 0, 8, 2, 0, 1, 3, 0, 0, 3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 4, Oak_Unevenaged, 86987, 704285, 23964, 47619, 1313, 59724, 29209, 151, 1948, 97530, 0, 507, 55186, 21639, 35566, 7554, 0, 38872, 24490, 37334, 0, 26821, 0, 28312, 153149, 225, 2763, 734, 156, 933, 22875, 9230, 917, 0, 0, 23492, 0, 
10, 4, Hardwoods_Unevenaged, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
10, 4, Thinning_PineHard, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 4, Thinning_Aspen, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 5, CNF_SpruceFir, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 5, Oak_Clearcut, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 0, 
10, 5, Oak_Shelter, 6, 16, 4, 0, 0, 4, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 
10, 5, Pine_Unevenaged, 757, 1095, 798, 1, 4, 94, 52, 0, 6, 262, 0, 0, 141, 31, 9, 12, 48, 9, 0, 161, 89, 56, 0, 64, 437, 0, 0, 1, 0, 3, 100, 53, 5, 198, 46, 11, 0, 
10, 5, Thinning_RedPine, 4, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 5, Thinning_PineHard, 4213, 0, 8165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3477, 0, 0, 0, 4030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 658, 0, 0, 
10, 5, Thinning_Aspen, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 6, CNF_RPine_Clearcut, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 6, CNF_SpruceFir, 7, 79, 0, 7, 0, 3, 0, 0, 0, 11, 0, 0, 0, 1, 0, 0, 4, 3, 0, 0, 0, 10, 0, 1, 23, 0, 1, 0, 0, 0, 8, 0, 0, 1, 2, 4, 0, 
10, 6, Aspen_Clearcut, 4, 63, 0, 6, 0, 2, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 4, 5, 0, 0, 16, 0, 1, 0, 0, 0, 2, 1, 0, 5, 0, 3, 0, 
10, 6, Oak_Clearcut, 7, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 5, 0, 2, 1, 0, 0, 20, 1, 0, 1, 1, 2, 0, 
10, 6, LowlandConifer_Clearcut, 63586, 599419, 0, 35176, 791, 30053, 10083, 170, 1009, 61534, 0, 59, 33641, 12428, 48623, 4033, 16668, 54040, 10705, 29305, 12252, 20068, 145, 13578, 88647, 609, 1471, 388, 537, 2286, 49552, 21911, 1171, 0, 24738, 13725, 23, 
